Fernando;Park;14.12.1974;36500;18.-M‰rz-Straﬂe;20;2147825724;3696239358;
Allie;Bender;21.6.1945;33281;1. Kirchstraﬂe;28;1049119961;2194212995;
Frederick;Sherman;12.1.1991;24604;1 Maja;3;1029210153;2742122382;
Natasha;Bush;13.3.1955;15447;1. Moorriege;27;2153824771;2991211869;
Cristal;Suarez;20.8.1965;19894;1. Norderwieke;4;4132233811;2767340333;
Aldo;Byrd;17.10.1951;38253;1. S¸derwieke;19;3764435547;4275742662;
Karli;Pham;18.8.1983;19741;1. Teich-Privatweg;30;2231610778;3219013035;
Kasen;Washington;23.1.1946;19040;1. Wittkamp;43;3264829264;3380537446;
Casey;Reeves;15.10.1950;25350;2. Enge Straﬂe;7;3439341101;2962913548;
Gwendolyn;Montgomery;24.1.1944;28756;2. Kirchstraﬂe;41;1737614966;3630823931;
Addisyn;Ho;5.4.1996;21323;2. Moorriege;38;2611831538;3292912082;
Hayden;Fritz;22.10.1975;14639;2. Norderwieke;9;1993032704;1230623977;
Alicia;Mack;6.7.1991;38745;2. S¸derwieke;25;1627029072;3677715829;
Magdalena;Boyd;6.10.2002;33986;2. Teich-Privatweg;41;2863619161;3476732355;
Anna;Potter;24.11.1981;22052;3. Ausfallstraﬂe;1;2694111150;2396631724;
Jaime;Whitehead;15.4.1961;28007;4. Wallstraﬂe;38;2228725457;2038337753;
Abram;Perry;22.6.1949;19758;55er Straﬂe;22;1642228588;3750634946;
Erika;Anthony;11.10.1988;10900;5.kvetna;42;1165528762;1635927410;
Rashad;Maldonado;17.6.1998;16483;5. kvetna;46;1360214041;2029134350;
Sullivan;Hansen;9.3.1970;14596;5. Wallstraﬂe;22;3319937348;3448429668;
Derick;Singh;22.7.1993;11999;77er Straﬂe;19;1690037938;2812713788;
Mylie;Sherman;20.9.1993;34648;7, Karlplatz;34;1242127807;1661724310;
Sydney;Dudley;22.11.1969;17616;9. kvetna;36;3060027451;2651915249;
Brycen;Webb;1.11.2003;16224;A 11 Ost;9;4260915844;4270224989;
Conrad;Carney;4.2.1953;24343;A 11 West;24;3931411587;1744819503;
Karlie;Hicks;1.7.1978;30580;A12 --> Arnhem;47;2528124798;3079829589;
Brynlee;Navarro;10.2.1972;33622;A12 --> Oberhausen;39;1603822292;2819034179;
Valentino;Harper;6.3.1971;29815;A3 --> Aachen;39;2151129156;1263426202;
Isla;Hendricks;25.4.1968;32646;A3 --> Bruxelles;13;2887514886;3986938433;
Kieran;Guerra;11.1.1956;31881;A57 --> Duisburg;49;2865120322;1569920021;
Terry;Holloway;2.1.1972;34389;A67 --> Duisburg;26;1260020712;3100312510;
Gage;Potts;18.6.1998;23401;A67 Duisburg --> Venlo;40;2642325255;2058515002;
Elaine;Kent;19.2.2008;41426;A67 --> Eindhoven;18;1983233757;1416940932;
Ayana;Lin;27.6.1979;29976;A6 N¸rnberg-Heinbronn;30;3869212368;2055531425;
Kade;Terry;19.2.1961;19512;A 7;46;3171828060;2613913753;
Ernesto;Nunez;20.8.1966;26687;A76 --> Heerlen;30;2743732549;2294929866;
Zoey;Ibarra;26.12.1947;30416;A77 --> Venlo;37;3448826105;2245526282;
Deon;Gibson;3.7.1951;41316;A7 --> Groningen;22;2226315786;3435514313;
Camryn;Tucker;22.2.1942;20808;A8 M¸nchen -> Salzburg;33;1431330945;3832137756;
Jayvion;Villanueva;15.7.1992;10481;A8 Salzburg -> M¸nchen;45;3022233196;1216117129;
Oscar;Lamb;20.3.1983;20466;Aach;45;3629231659;2725336439;
Karly;Ibarra;5.7.1980;14745;Aachener Ende;50;1831323186;3802214474;
Kaya;Davis;13.3.1967;19905;Aachener Landstraﬂe;9;2020217391;3647713625;
Yosef;Herring;19.3.2004;39334;Aachener Platz;25;3015934372;3807021833;
Jazmyn;Hatfield;12.2.1968;18177;Aachenerstraﬂe;24;1176342270;2719212668;
Lane;Steele;14.7.1950;39213;Aachener Straﬂe;28;1409914802;1262540527;
Ramiro;Haynes;4.5.1973;39972;Aachener-Straﬂe;12;4100324181;2750537432;
Amber;Mathews;14.10.1951;18492;Aachener Weg;43;4128627222;1790023064;
Augustus;Bowen;8.9.1953;40974;Aacher Straﬂe;21;1023539170;2971140833;
Osvaldo;Gillespie;1.9.1987;17285;Aachstraﬂe;1;2369410140;3162412695;
Adalynn;Petty;20.2.1986;31694;Aachtalstraﬂe;9;2737136302;1467832466;
Kyla;Martin;26.8.1944;11018;Aahlemannufer;15;3315231119;2808712800;
Tabitha;Fuller;9.7.1990;14757;Aalbachstraﬂe;21;1957630315;2204340227;
Selina;Mathews;23.1.2009;17882;Aalbeckestraﬂe;37;1348739565;2447439577;
Shirley;Moss;22.8.1969;41928;Aalborghof;24;1690238520;1012324962;
Heath;Rodriguez;13.6.1971;20195;Aalborgring;26;1826011264;1811616202;
Mallory;Garner;19.11.1971;40771;Aalborgstraﬂe;12;3115335547;3979031520;
Nataly;Allen;1.9.2003;14940;Aalemannufer;2;2382928662;2771340900;
Marilyn;Brown;3.11.1975;23007;Aalener Straﬂe;28;3605811200;1230316439;
Jaidyn;Pearson;21.2.1954;16477;Aalesunder Straﬂe;9;2488731113;3285029801;
Jaelynn;Shields;13.1.1983;37384;Aalfang;6;4111116540;2283538704;
Tanner;Craig;17.1.1960;28823;Aalheitengraben;36;3321630556;1935711626;
Marlie;Stanley;15.2.1947;33271;Aalkrautweg;20;2289639361;3961723022;
Hector;Brewer;5.10.1946;21585;Aalstecherstraﬂe;42;3412934423;1456534229;
Stella;Gonzalez;8.5.1976;39855;Aalstraﬂe;4;1358426962;1665439734;
Neil;Rose;5.2.1959;32532;Aaltenseweg;14;1248312607;2163510911;
Dashawn;Morrow;16.1.1995;22938;Aalweg;24;3375432142;3274116511;
Laney;Cisneros;16.4.1985;13221;Aalwisch;21;4193411626;4178325205;
Noe;Richmond;23.11.1959;32701;Aalwischkoppel;44;1163722734;1555636534;
Urijah;Ross;6.1.1955;16962;Aam¸hlen;49;1030025881;2664124413;
Quinton;Gould;4.4.1992;21462;AAn der Schieﬂruthe;12;3042440877;1175242678;
Charlotte;Hayes;20.1.1943;20040;Aapweg;14;3007210875;1061022818;
Mara;Nichols;10.5.1982;40695;Aarauer Straﬂe;20;3004033831;3868536488;
Rishi;Humphrey;23.10.2009;35990;Aaraustraﬂe;46;2931429353;3674028651;
Blaine;Johnson;9.3.1995;18759;Aarblick;43;3526417605;3850322181;
Brandon;Ortega;22.4.1968;39292;Aarhuser Straﬂe;48;3955627549;4162735561;
Sincere;Good;28.10.1959;41240;Aarhushof;14;3060139174;3021516077;
Ainsley;York;4.6.1992;35824;Aarhusstraﬂe;2;2575933392;3642812670;
Angeline;Horn;28.5.2005;28786;Aarhusweg;49;1628734970;4260433847;
